# tamanho comparacoes movimentacoes chamadas tempo_microsegundos
# KEYSZ=4 PLSZ=20 Tipo=aleatorio
1000 13226 7968 1756 125
1487 18538 13068 2542 402
1974 27952 17577 3304 429
2461 35436 22593 4072 479
2948 40275 28455 4798 695
3435 55445 33249 5570 594
3922 60312 39141 6340 685
4409 65595 45237 7158 764
4896 74796 50568 7786 854
5383 84739 56217 8578 1069
5870 91489 63042 9352 1140
6357 111704 67785 9986 1217
6844 103009 74967 10710 1570
7331 109649 81903 11436 1593
7818 122548 87918 12298 1650
8305 134431 93384 12974 1485
8792 138442 99912 13616 1659
9279 165268 104577 14338 1999
9766 162160 112419 15126 2527
10253 173070 117864 15688 2072
10740 192963 124863 16544 2148
11227 192892 131790 17100 2310
11714 189887 139689 18004 2510
12201 200785 146871 18718 2492
12688 202914 153405 19342 2613
13175 226853 159378 20166 3186
13662 223168 166608 20844 2629
14149 237323 173148 21534 2702
14636 246568 180504 22294 2810
15123 275378 185817 23042 3275
15610 275551 192720 23710 3026
16097 267329 201177 24404 3217
16584 288741 207417 25254 3569
17071 281447 216072 25934 3441
17558 312147 220365 26538 3552
18045 321223 226893 27204 3402
18532 338673 234678 28038 3733
19019 335092 241638 28640 3647
19506 340266 248697 29170 3734
19993 344396 257004 30132 3888
